movieid,genre
1672052,Drama
1672052,History
1672052,War
1672111,Action
1672111,Adventure
1672111,Comedy
1672580,Comedy
1672580,Romance
1672716,Drama
1672946,Action
1672946,Comedy
1672946,Crime
1672946,Drama
1673647,Drama
1673647,Musical
1673658,Comedy
1673658,Drama
1673658,Thriller
1673848,Comedy
1673848,Drama
1673848,Romance
1674388,Adventure
1674388,Comedy
1674388,Family
1674737,Drama
1677011,Comedy
1677011,Crime
1677258,Comedy
1677258,Drama
1677346,Biography
1677346,Comedy
1677346,Romance
1677472,Sci-Fi
1677472,Short
1677516,Comedy
1677516,Drama
1677516,Romance
1677631,Adventure
1677631,Mystery
1677631,Sci-Fi
1678036,Sci-Fi
1678036,Thriller
1678591,Comedy
1678591,Drama
1678591,Romance
1678591,Sport
1679029,Comedy
1679029,Drama
1679461,Action
1679461,Adventure
1679461,Comedy
1679461,Family
1679507,Comedy
1679920,Horror
1679920,Mystery
1679920,Thriller
1681633,Crime
1681633,Thriller
1681655,Drama
1681655,History
1682630,Crime
1682657,Comedy
1682657,Crime
1682692,Biography
1682692,Drama
1682692,Sport
1682746,Comedy
1682746,Drama
1682922,Crime
1682922,Mystery
1682922,Thriller
1684201,Crime
1684201,Drama
1684201,Romance
1684430,Crime
1684430,Drama
1684442,Drama
1684486,Adventure
1684486,Animation
1684486,Comedy
1684486,Family
1684910,Documentary
1685241,Drama
1685241,Family
1685241,Fantasy
1685309,Comedy
1685309,Family
1685405,Drama
1685463,Crime
1685463,Drama
1685463,Sci-Fi
1685493,Animation
1685493,Comedy
1685493,Crime
1685493,Family
1685493,Short
1685815,Drama
1686071,Drama
1686071,Family
1686071,Thriller
1686209,Comedy
1686209,Musical
1686209,Romance
1687181,Drama
1687181,Family
1687191,Animation
1687191,Short
1687544,Drama
1687685,Comedy
1687685,Drama
1687730,Adventure
1687730,Drama
1687730,Family
1687730,Romance
1687738,Drama
1687738,Romance
1687738,War
1687905,Crime
1687905,Drama
1687905,Mystery
1687905,Thriller
1688103,Comedy
1688103,Crime
1688565,Drama
1688565,Romance
1688565,Thriller
1689117,Comedy
1689183,Adventure
1689183,Animation
1689183,Comedy
1689183,Family
1689183,Musical
1689183,Romance
1689210,Adventure
1689210,Animation
1689210,Comedy
1689210,Family
1689210,Short
1689263,Documentary
1689263,Music
1689475,Comedy
1689475,Musical
1690318,Adventure
1690318,Comedy
1690318,Family
1690318,Fantasy
1690318,Romance
1690377,Comedy
1690377,Drama
1690616,Comedy
1690616,Drama
1690616,Sport
1690710,Crime
1690710,Drama
1690710,Mystery
1690710,Thriller
1690773,Comedy
1690773,Crime
1690773,Fantasy
1690773,Romance
1690958,Comedy
1691077,Drama
1691077,Family
1691077,Fantasy
1691387,Action
1691387,Comedy
1691387,Crime
1691642,Biography
1691642,Drama
1691642,History
1691685,Comedy
1691685,Drama
1691793,Drama
1692173,Comedy
1692173,Fantasy
1692173,Romance
1692404,Comedy
1692404,Drama
1692404,Romance
1692580,Comedy
1692580,Drama
1692580,Romance
1693225,Comedy
1693305,Action
1693305,Drama
1693305,History
1693341,Horror
1693345,Horror
1693345,Thriller
1693346,Horror
1693346,Thriller
1693347,Horror
1693348,Comedy
1693348,Fantasy
1693348,Horror
1693348,Thriller
1693818,Documentary
1693861,Crime
1693861,Drama
1693861,Thriller
1693880,Crime
1693880,Drama
1693880,Thriller
1694141,Drama
1694141,Romance
1694448,Drama
1694448,Romance
1694647,Comedy
1694647,Romance
1694901,Drama
1695219,Drama
1695355,Drama
1695355,Romance
1696148,Crime
1696148,Drama
1696148,Thriller
1696165,Comedy
1696165,Drama
1696168,Comedy
1696168,Fantasy
1696396,Comedy
1696396,Romance
1696473,Drama
1696496,Drama
1696496,Mystery
1696496,War
1696789,Drama
1697037,Drama
1697674,Comedy
1697674,Crime
1697674,Romance
1697674,Thriller
1697690,Drama
1697774,Documentary
1697774,Music
1697856,Crime
1697856,Drama
1697856,Thriller
1698492,Comedy
1698547,Drama
1698547,Romance
1698667,Action
1698667,Adventure
1698667,Crime
1698667,Thriller
1698944,Drama
1698944,Romance
1698960,Drama
1698960,War
1698972,Drama
1698972,Romance
1699546,Drama
1699546,Romance
1699876,Comedy
1699876,Drama
1703410,Comedy
1703410,Romance
1703469,Comedy
1703469,Drama
1703469,Romance
1703588,Crime
1703588,Drama
1703588,Sport
1703679,Drama
1703679,Mystery
1703679,Romance
1703679,Sci-Fi
1703907,Crime
1703907,Drama
1703907,Thriller
1704569,Comedy
1704571,Comedy
1704577,Drama
1704577,Film-Noir
1704645,Action
1704645,Drama
1705196,Adventure
1705196,Drama
1705196,Family
1705196,History
1705417,Action
1705417,Comedy
1705417,Crime
1705417,Thriller
1706079,Comedy
1706079,Fantasy
1706140,Comedy
1706140,Romance
1706887,Action
1706887,Sci-Fi
1706887,Thriller
1707277,Action
1707277,Adventure
1707277,Comedy
1707277,Thriller
1707941,Drama
1707941,Mystery
1707941,Thriller
1708591,Drama
1708591,Short
1708982,Comedy
1708982,Drama
1708982,Romance
1709238,Action
1709238,Adventure
1709238,Crime
1709238,Drama
1709238,Romance
1709238,Thriller
1709892,Comedy
1709892,Drama
1709892,Romance
1709901,Drama
1709901,Mystery
1709901,Thriller
1710609,Drama
1710609,Horror
1710609,Romance
1710609,Thriller
1710622,Drama
1710622,History
1710622,Romance
1710673,Drama
1710994,Drama
1710994,Romance
1710994,War
1711133,Action
1711133,Comedy
1711143,Comedy
1711143,Drama
1711143,Family
1711143,Sport
1711145,Comedy
1711145,Family
1711145,Sport
1711175,Action
1711175,Adventure
1711175,Drama
1711175,Thriller
1711356,Comedy
1711356,Crime
1711356,Music
1711383,Comedy
1711383,Romance
1711383,Sci-Fi
1711384,Comedy
1711393,Action
1711393,Drama
1711393,Thriller
1711395,Drama
1711395,Thriller
1711398,Action
1711398,Drama
1711398,Thriller
1712152,Animation
1712152,Sci-Fi
1713183,Adventure
1713183,Animation
1713183,Comedy
1713183,Family
1713183,Fantasy
1713183,Musical
1713183,Romance
1713499,Adventure
1713499,Family
1713755,Crime
1713755,Drama
1713755,Thriller
1714481,Drama
1714481,Mystery
1714481,Romance
1714991,Drama
1714991,Romance
1715025,Adventure
1715025,Animation
1715025,Family
1715025,Fantasy
1715025,Musical
1715186,Horror
1715186,Sci-Fi
1715253,Sci-Fi
1715288,Crime
1715288,Drama
1715288,Sci-Fi
1715288,Thriller
1715380,Action
1715380,Sci-Fi
1715380,Thriller
1715404,Action
1715404,Adventure
1715404,Sci-Fi
1715404,Thriller
1715607,Action
1715607,Adventure
1715607,Biography
1715607,Drama
1715607,Sport
1715607,Thriller
1715793,Drama
1716019,Animation
1716019,Comedy
1716019,Drama
1716019,Fantasy
1716020,Adventure
1716020,Animation
1716020,Family
1716020,Fantasy
1716020,Romance
1716411,Drama
1716452,Drama
1716452,War
1716615,Drama
1716615,Fantasy
1716615,Music
1716615,Musical
1717077,Drama
1717117,Drama
1717144,Comedy
1717144,Drama
1717144,Romance
1717455,Action
1717455,Adventure
1717455,Comedy
1717910,Horror
1717910,Sci-Fi
1718318,Drama
1718318,Music
1718342,Adventure
1718342,Comedy
1718342,Western
1718968,Drama
1718968,Mystery
1718968,Sci-Fi
1718968,Thriller
1719502,Western
1719614,Comedy
1719614,Short
1720040,Biography
1720040,Drama
1720040,Music
1720443,Comedy
1720443,Crime
1720443,Drama
1720443,Thriller
1721568,Drama
1721607,Drama
1721750,Documentary
1721864,Drama
1721864,Sport
1721888,Crime
1721888,Drama
1721888,Thriller
1721919,Comedy
1721919,Drama
1721967,Crime
1721967,Drama
1722098,Documentary
1722164,Comedy
1722164,Romance
1722174,Documentary
1722181,Animation
1722181,Drama
1722181,Music
1722198,Crime
1722198,Drama
1722327,Action
1722327,Comedy
1722395,Comedy
1722617,Drama
1722761,Drama
1722761,History
1722761,Mystery
1722776,Horror
1722776,Thriller
1722777,Drama
1722777,Horror
1722777,Thriller
1723002,Comedy
1723002,Romance
1723532,Comedy
1723532,Crime
1724000,Drama
1724000,Romance
1724037,Comedy
1724179,Animation
1724179,Comedy
1724179,Drama
1724179,Family
1724179,History
1724179,Musical
1724180,Adventure
1724180,Animation
1724180,Comedy
1724180,Family
1724180,Musical
1724180,Western
1724190,Horror
1724193,Comedy
1724193,Horror
1724193,Romance
1724193,Thriller
1724201,Musical
1724201,Romance
1724413,Comedy
1724413,Drama
1724880,Comedy
1724880,Romance
1725437,Horror
1725437,Thriller
1725774,Adventure
1725774,Thriller
1726761,Comedy
1726761,Crime
1726934,Adventure
1726934,Animation
1726934,Drama
1726934,Family
1726934,Fantasy
1726934,Musical
1727017,Horror
1727017,Thriller
1727082,Crime
1727082,Drama
1727082,Mystery
1727237,Comedy
1727237,Fantasy
1727237,Musical
1727237,Romance
1727348,Comedy
1727348,Drama
1727348,Romance
1727413,Comedy
1727885,Adventure
1727885,Drama
1727885,Family
1728742,Drama
1728742,Romance
1728802,Horror
1728802,Mystery
1728802,Thriller
1728889,Romance
1728889,Western
1728948,Comedy
1728948,Fantasy
1728948,Romance
1729005,Drama
1729026,Drama
1729240,Drama
1729240,Romance
1729260,Comedy
1729260,Family
1729260,Fantasy
1729260,Sport
1729569,Comedy
1729569,Drama
1729818,Comedy
1729818,Romance
1730457,Short
1730566,Drama
1730566,Romance
1730640,Comedy
1730640,Drama
1730640,History
1730640,Romance
1730836,Biography
1730836,Documentary
1730836,War
1730975,Comedy
1730975,Drama
1730975,Romance
1731412,Crime
1731412,Drama
1731412,Thriller
1731505,Crime
1731505,Drama
1731505,Film-Noir
1731582,Action
1731582,Comedy
1731582,Crime
1731582,Thriller
1732344,Comedy
1732344,Drama
1732496,Adventure
1732496,Animation
1732496,Comedy
1732496,Family
1732658,Drama
1732658,Sport
1732858,Comedy
1732858,Drama
1733111,Drama
1733479,Drama
1733479,War
1733566,Drama
1733566,History
1734162,Comedy
1734162,Horror
1734162,Mystery
1734321,Drama
1734321,Thriller
1734369,Drama
1734803,Comedy
1734803,Horror
1734803,Sci-Fi
1734803,Thriller
1735791,Documentary
1736211,Mystery
1736211,Thriller
1736268,Action
1736268,Adventure
1736268,Sci-Fi
1736268,Thriller
1736362,Action
1736362,Comedy
1736362,Crime
1736592,Comedy
1736592,Fantasy
1736592,Horror
1736794,Action
1736794,Adventure
1736794,Comedy
1736794,Family
1736794,Romance
1736794,Western
1737340,Comedy
1737340,Crime
1737340,Romance
1737340,Thriller
1737713,Biography
1737713,Drama
1737713,Romance
1737766,Comedy
1737766,Romance
1738481,Comedy
1738481,Drama
1738481,Romance
1739234,Comedy
1739234,Drama
1740732,Action
1740732,Drama
1740732,Thriller
1740752,Action
1740752,Crime
1740752,Thriller
1740811,Action
1740811,Thriller
1741487,Documentary
1741682,Drama
1741682,Romance
1742509,Crime
1742509,Drama
1742509,Romance
1743028,Comedy
1743028,Horror
1743028,Musical
1743028,Sci-Fi
1743689,Comedy
1743689,Drama
1743689,Horror
1743852,Drama
1743852,Fantasy
1743852,Horror
1743852,Thriller
1744178,Comedy
1744178,Drama
1744178,Romance
1744391,Comedy
1744391,Drama
1744809,Comedy
1744809,Crime
1744811,Action
1744811,Adventure
1744811,Comedy
1744811,Crime
1745373,Drama
1745373,Short
1745406,Drama
1745530,Action
1745530,Drama
1746382,Biography
1746382,Drama
1746829,Biography
1746829,Documentary
1747382,Drama
1747382,Romance
1747494,Comedy
1747545,Crime
1747545,Drama
1747545,Romance
1747545,Thriller
1747649,Comedy
1747649,Sport
1747899,Drama
1747899,Music
1747899,Romance
1747899,War
1748196,Adventure
1748196,Family
1748196,Fantasy
1748219,Adventure
1748219,Comedy
1748219,Drama
1748219,Family
1748219,Fantasy
1748315,Comedy
1748315,Family
1748315,Fantasy
1748315,Musical
1748317,Family
1748317,Fantasy
1748317,Musical
1748754,Comedy
1748754,Crime
1748754,Family
1748754,Sci-Fi
1748996,Adventure
1748996,Family
1748996,Sci-Fi
1749026,Comedy
1749026,Drama
1749222,Drama
1749222,Family
1749247,Comedy
1749247,Romance
1749438,Comedy
1749438,Short
1749683,Comedy
1749683,Romance
1749683,Sport
1749731,Adventure
1749731,Comedy
1749731,Sci-Fi
1749735,Adventure
1749735,Comedy
1749735,Sci-Fi
1749737,Adventure
1749737,Comedy
1749737,Sci-Fi
1749737,Western
1749806,Biography
1749806,Drama
1749806,Music
1749891,Action
1749891,Crime
1749891,Drama
1749891,Mystery
1749891,Thriller
1750364,Action
1750364,Comedy
1750364,Crime
1750364,Drama
1750364,Thriller
1750424,Crime
1750424,Drama
1750424,Thriller
1750510,Western
1750660,Crime
1750660,Drama
1750728,Horror
1750816,Comedy
1750816,Horror
1750816,Sci-Fi
1751059,Drama
1751059,Family
1751071,Crime
1751071,Drama
1751872,Action
1751872,Crime
1751872,Thriller
1753266,Adventure
1753266,Animation
1753266,Drama
1753266,Family
1753266,History
1753348,Animation
1753348,Drama
1753348,Family
1753400,Comedy
1753400,Drama
1753400,Music
1753578,Comedy
1753695,Action
1753695,Crime
1753695,Drama
1753837,Biography
1753837,Drama
1753860,Drama
1753860,Music
1754754,Documentary
1754754,War
1754799,Action
1754799,Sci-Fi
1754884,Action
1754884,Adventure
1754884,Comedy
1754884,Fantasy
1754884,Sci-Fi
1755112,Comedy
1755112,Drama
1755112,Romance
1755524,Comedy
1755524,Romance
1755813,Documentary
1756051,Adventure
1756051,Family
1756391,Adventure
1756391,Drama
1756391,Romance
1756391,War
1756768,Mystery
1756768,Thriller
1756902,Biography
1756902,Drama
1756980,Drama
1757342,Action
1757342,Crime
1757342,Fantasy
1757347,Action
1757347,Fantasy
1757367,Action
1757367,Adventure
1757367,Fantasy
1757378,Action
1757378,Fantasy
1757423,Action
1757423,Animation
1757423,Crime
1757423,Family
1757423,Mystery
1757423,Romance
1757423,Sci-Fi
1757423,Thriller
1757465,Crime
1757465,Mystery
1757465,Romance
1757465,Thriller
1757485,Horror
1757485,Sci-Fi
1757485,Thriller
1757698,Action
1757698,Sci-Fi
1757893,Action
1757893,Sci-Fi
1758003,Comedy
1758767,Comedy
1758767,Musical
1758767,Romance
1758856,Comedy
1758856,Family
1759189,Action
1759189,Adventure
1759189,Comedy
1759189,Crime
1759189,Drama
1759189,Romance
1759448,Comedy
1759448,Drama
1759573,Comedy
1759573,Drama
1759573,Romance
1759654,Comedy
1759654,Drama
1759654,War
1759685,Comedy
1759685,Drama
1759685,Romance
1759736,Documentary
1759736,Short
1759851,Animation
1759851,Family
1759851,Fantasy
1759851,Musical
1759851,Romance
1759983,Adventure
1759983,Animation
1759983,Comedy
1759983,Crime
1760306,Drama
1760306,Romance
1760386,Adventure
1760386,Family
1760386,Fantasy
1760386,Musical
1760449,Comedy
1760449,Romance
1760586,Drama
1760752,Comedy
1760752,Fantasy
1760876,Drama
1760876,Romance
1760927,Crime
1760927,Drama
1760927,Mystery
1760978,Drama
1760978,War
1762161,Comedy
1762161,Drama
1762161,Fantasy
1762174,Comedy
1762174,Drama
1762174,Fantasy
1762174,Sci-Fi
1762229,Comedy
1762229,Drama
1762644,Drama
1762644,History
1762644,Romance
1762654,Comedy
1762654,Fantasy
1762654,Romance
1762853,Drama
1763019,Crime
1763019,Drama
1763083,Drama
1763083,Horror
1763083,Mystery
1763465,Action
1763465,Adventure
1763465,Drama
1763465,History
1763465,Romance
1763653,Action
1763653,Adventure
1763653,Sci-Fi
1763877,Adventure
1763877,Family
1763877,Romance
1763883,Adventure
1763883,Family
1763910,Comedy
1763910,Drama
1763910,Romance
1763974,Drama
1763974,History
1763974,Romance
1763974,War
1764861,Drama
1764861,Romance
1765082,Crime
1765082,Drama
1765082,Thriller
1765108,Action
1765108,Comedy
1765108,Crime
1765108,Drama
1765108,Thriller
1765164,Comedy
1765347,Action
1765347,Crime
1765347,Drama
1765347,Thriller
1765652,Action
1765652,Drama
1765652,Romance
1765652,Thriller
1765787,Comedy
1765789,Documentary
1765789,Drama
1765789,Music
1765811,Comedy
1765811,Romance
1765827,Comedy
1765827,Drama
1765827,Romance
1766407,Action
1766407,Comedy
1766407,Crime
1766407,Thriller
1766427,Action
1766427,Comedy
1766668,Comedy
1766668,Horror
1766849,Action
1766849,Drama
1766884,Documentary
1766884,Short
1767110,Biography
1767110,Documentary
1767110,Sport
1767151,Action
1767151,Adventure
1767151,Drama
1767151,Thriller
1767537,Comedy
1767537,Drama
1768211,Drama
1768211,Family
1768389,Drama
1768389,Fantasy
1768389,Romance
1768389,Sci-Fi
1768698,Comedy
1768698,Drama
1768698,Fantasy
1768698,Romance
1769145,Comedy
1769145,Drama
1769408,Comedy
1769408,Drama
1769516,Drama
